ClusterID,NumPixel,AvgSimilarity, AvgR,AvgG,AvgB
835,2,1.0000,93,92,94
838,2,0.0000,169,182,145
843,3,0.4808,116,141,73
844,4,0.9929,212,115,131
845,12,1.0000,48,49,49
847,0,0.0000,0,0,0
850,7,0.4885,153,166,123
851,2,1.0000,144,161,109
861,4,0.6662,229,134,156
862,8,0.9920,206,99,121
863,8,0.9855,161,157,158
864,6,0.9966,93,92,92
865,2,0.0000,163,154,159
866,5,0.4849,164,172,135
867,2,0.9606,115,142,71
868,3,0.9958,61,87,51
873,2,0.0000,132,148,143
874,2,0.9847,161,172,172
876,2,0.0000,207,199,220
877,2,1.0000,182,169,191
878,12,0.9847,232,103,136
880,5,0.9840,190,80,103
881,3,0.9821,198,87,113
883,3,0.5000,140,158,107
884,0,0.0000,0,0,0
886,2,0.0000,97,116,96
887,2,0.0000,118,135,122
890,4,0.3333,147,144,163
893,2,1.0000,105,96,119
894,2,1.0000,120,108,129
895,2,1.0000,175,162,179
896,2,1.0000,206,192,208
897,3,0.9842,213,104,133
898,2,0.0000,222,126,142
899,14,0.9796,158,55,79
901,6,0.8000,98,93,97
902,4,0.3244,71,94,65
906,0,0.0000,0,0,0
907,4,0.9867,181,185,185
908,6,0.9928,196,197,202
910,2,1.0000,109,109,127
911,5,0.4978,92,95,115
912,3,0.9870,89,90,113
913,16,0.9988,70,71,95
914,3,1.0000,75,68,88
915,5,0.9879,231,122,153
916,2,1.0000,212,73,110
917,2,0.9642,190,61,96
918,2,1.0000,184,82,110
920,2,1.0000,208,116,134
921,10,0.8744,205,124,149
925,2,0.9635,65,98,49
926,3,0.4877,93,112,89
927,4,0.6667,113,129,111
928,4,0.3333,136,148,136
929,5,0.4918,156,166,159
930,9,0.7412,208,204,215
932,2,1.0000,143,134,150
933,3,0.9949,194,185,199
934,9,0.8750,147,38,70
936,3,0.9892,185,96,122
937,5,0.7262,177,179,149
941,2,1.0000,204,205,214
943,2,0.9834,103,108,124
944,3,0.9927,180,59,93
945,3,0.9912,174,90,118
946,2,1.0000,191,104,126
947,3,0.9926,176,88,114
949,0,0.0000,0,0,0
952,3,0.0000,68,102,50
954,2,0.0000,75,108,61
957,3,0.5000,144,148,160
959,5,1.0000,65,73,97
961,3,0.9824,208,91,125
962,4,0.6422,166,177,138
963,0,0.0000,0,0,0
964,0,0.0000,0,0,0
965,2,0.9706,75,111,52
968,6,0.3925,93,123,80
969,2,0.9670,105,138,95
970,3,0.4838,127,148,125
971,3,1.0000,152,165,156
972,2,0.9880,172,180,176
974,5,1.0000,52,58,73
975,3,0.5000,116,120,140
976,4,0.9881,182,183,196
977,3,0.9826,189,88,120
978,2,1.0000,204,129,155
979,0,0.0000,0,0,0
980,3,0.0000,137,162,105
981,0,0.0000,0,0,0
982,3,0.4925,84,116,66
984,5,0.9938,75,78,87
987,5,0.0000,151,169,121
989,97,0.9866,69,106,35
990,10,0.9843,78,118,46
991,0,0.0000,0,0,0
995,2,0.9764,196,188,203
996,2,0.0000,169,173,185
998,2,1.0000,196,148,162
999,3,0.5000,192,141,154
1000,2,0.9982,182,130,143
1002,8,0.9876,171,183,153
1003,8,0.9866,158,178,137
1004,8,0.9880,145,173,121
1005,9,0.8614,135,169,107
1006,4,0.0000,79,116,56
1007,129,0.9758,81,119,46
1010,2,0.0000,105,128,100
1012,2,0.0000,172,178,180
1013,2,1.0000,164,166,177
1014,5,0.7460,136,138,144
