ClusterID,NumPixel,minSimilarity,AvgSimilarity, AvgR,AvgG,AvgB
1227,4,1.0000,1.0000,85,133,166
1228,40,0.9901,0.9992,89,137,170
1229,2,1.0000,1.0000,118,168,201
1230,2,1.0000,1.0000,107,158,188
1231,3,0.9911,0.9956,107,158,185
1232,3,0.9758,0.9879,108,154,182
1233,5,0.3161,0.7158,106,140,166
1234,3,0.7826,0.8626,104,132,154
1235,2,1.0000,1.0000,106,134,147
1236,7,0.9345,0.9669,63,72,86
1237,5,0.9781,0.9890,55,53,60
1238,6,0.9657,0.9931,83,132,163
1239,4,0.9515,0.9585,61,89,116
1240,3,0.9649,0.9695,68,93,126
1241,9,0.8981,0.9157,72,115,149
1242,3,0.9688,0.9688,77,126,158
1243,7,0.9823,0.9925,83,126,158
1244,8,1.0000,1.0000,85,134,166
1245,8,0.9904,0.9959,119,169,201
1246,3,0.9806,0.9806,102,155,187
1247,11,0.9972,0.9991,102,153,184
1248,2,0.9866,0.9866,107,154,181
1249,4,0.9427,0.9809,108,153,179
1250,3,1.0000,1.0000,101,149,181
1251,3,0.9456,0.9482,106,133,156
1252,3,0.9520,0.9760,85,102,124
1253,55,1.0000,1.0000,110,159,191
1254,3,1.0000,1.0000,108,149,175
1255,2,1.0000,1.0000,101,152,181
1256,3,0.9425,0.9713,101,146,177
1257,3,0.7694,0.8847,101,149,178
1258,2,0.8323,0.8323,100,146,170
1259,3,0.9656,0.9828,95,129,151
1260,2,0.9025,0.9025,100,124,147
1261,4,0.9912,0.9971,31,12,12
1262,2,0.9969,0.9969,32,16,33
1263,2,1.0000,1.0000,32,18,38
1264,3,0.9894,0.9947,31,21,40
1265,14,0.7844,0.9448,103,151,180
1266,3,0.9018,0.9056,103,144,171
1267,3,0.7746,0.8873,106,145,173
1268,2,1.0000,1.0000,101,137,163
1269,3,0.8685,0.9343,101,139,163
1270,2,0.9466,0.9466,101,145,163
1271,4,0.8781,0.9594,101,127,142
1272,5,0.9836,0.9874,30,17,32
1273,2,1.0000,1.0000,37,9,12
1274,9,0.9879,0.9969,42,21,23
1275,3,1.0000,1.0000,39,17,20
1276,17,0.9897,0.9977,38,16,19
1277,2,1.0000,1.0000,21,13,23
1278,5,0.9776,0.9887,21,12,17
1279,2,1.0000,1.0000,30,34,46
1280,6,0.9819,0.9928,24,19,25
1281,6,0.9141,0.9569,35,41,54
1282,2,0.8366,0.8366,64,72,92
1283,2,0.9496,0.9496,81,90,114
1284,3,0.9891,0.9946,89,110,135
1285,3,0.9917,0.9920,91,110,127
1286,3,0.9872,0.9936,92,110,125
1287,4,1.0000,1.0000,92,117,132
1288,3,0.8936,0.9302,89,118,139
1289,150,0.8942,0.9870,88,135,167
1290,3,0.9590,0.9795,85,132,160
1291,2,1.0000,1.0000,118,167,199
1292,3,0.9845,0.9923,109,153,184
1293,5,0.4736,0.8043,100,137,169
1294,5,0.7270,0.7652,94,123,150
1295,3,0.6607,0.7633,83,108,131
1296,6,0.9293,0.9413,51,80,105
1297,10,0.9130,0.9708,42,52,70
1298,31,0.9274,0.9879,29,25,32
1299,16,0.9680,0.9868,49,31,30
1300,2,1.0000,1.0000,43,23,22
1301,3,1.0000,1.0000,44,26,24
1302,2,1.0000,1.0000,39,19,20
1303,3,0.9942,0.9971,47,29,29
1304,3,0.9882,0.9941,50,32,31
1305,9,0.9917,0.9975,31,12,14
1306,2,1.0000,1.0000,37,17,19
1307,7,0.9818,0.9925,38,18,21
1308,3,0.9939,0.9969,26,26,32
1309,3,0.9882,0.9895,22,18,34
1310,2,0.9766,0.9766,26,30,48
1311,2,0.9881,0.9881,37,47,64
1312,3,1.0000,1.0000,42,55,72
1313,2,1.0000,1.0000,70,85,104
1314,2,1.0000,1.0000,68,85,103
1315,2,1.0000,1.0000,78,98,118
1316,3,1.0000,1.0000,72,112,122
1317,2,0.9192,0.9192,79,116,128
1318,2,1.0000,1.0000,83,120,139
1319,10,0.9355,0.9725,83,128,151
1320,2,1.0000,1.0000,87,130,152
1321,2,1.0000,1.0000,82,121,150
1322,3,0.9134,0.9567,88,121,150
1323,2,1.0000,1.0000,89,125,153
1324,4,0.8966,0.9346,91,128,148
1325,5,1.0000,1.0000,89,135,174
1326,4,0.9891,0.9927,89,136,170
1327,3,1.0000,1.0000,51,36,33
1328,9,0.9871,0.9920,57,42,39
1329,6,0.9577,0.9901,48,30,29
1330,3,0.9904,0.9952,51,29,32
1331,3,0.9975,0.9988,43,24,26
1332,11,0.9789,0.9945,44,23,26
1333,3,0.9896,0.9948,46,31,31
1334,2,1.0000,1.0000,46,27,29
1335,7,0.9620,0.9848,39,22,23
1336,20,0.9354,0.9828,50,27,30
1337,4,0.9480,0.9754,46,33,34
1338,2,1.0000,1.0000,34,27,33
1339,2,1.0000,1.0000,26,15,23
1340,4,0.9589,0.9734,28,40,54
1341,2,1.0000,1.0000,31,51,75
1342,2,1.0000,1.0000,37,59,82
1343,3,0.9440,0.9720,61,83,106
1344,3,0.9545,0.9773,68,93,115
1345,6,0.8522,0.9098,81,113,137
1346,4,0.9615,0.9872,74,101,122
1347,3,0.7993,0.8996,79,112,139
1348,4,0.9933,0.9978,85,123,149
1349,70,0.9084,0.9816,81,132,163
1350,3,0.9369,0.9684,81,121,149
1351,2,1.0000,1.0000,81,120,140
1352,10,0.9702,0.9919,87,130,161
1353,6,0.9892,0.9926,89,131,161
1354,3,1.0000,1.0000,89,128,156
1355,4,0.9562,0.9692,90,130,154
1356,3,0.9274,0.9637,91,130,161
1357,2,1.0000,1.0000,92,129,152
1358,2,1.0000,1.0000,89,135,172
1359,3,0.8112,0.9056,107,137,170
1360,3,0.9002,0.9124,71,80,100
1361,2,1.0000,1.0000,34,34,44
1362,2,1.0000,1.0000,36,13,33
1363,3,0.9883,0.9927,33,26,33
1364,3,1.0000,1.0000,26,17,25
1365,4,0.9966,0.9980,27,14,21
1366,5,0.9919,0.9971,29,16,23
1367,5,0.9946,0.9986,33,19,28
1368,30,0.9663,0.9866,56,50,51
1369,2,1.0000,1.0000,66,51,44
1370,3,0.9975,0.9988,62,45,43
1371,19,0.9817,0.9932,63,50,47
1372,17,0.9816,0.9955,59,44,43
1373,3,1.0000,1.0000,58,39,41
1374,2,1.0000,1.0000,59,44,45
1375,2,1.0000,1.0000,53,35,36
1376,3,1.0000,1.0000,58,39,41
1377,6,0.9917,0.9970,55,43,43
1378,2,0.9972,0.9972,50,40,39
1379,2,1.0000,1.0000,46,32,32
1380,2,1.0000,1.0000,60,48,48
1381,3,0.9899,0.9950,50,36,36
1382,6,0.9879,0.9957,58,44,44
1383,13,0.9314,0.9743,63,53,56
1384,3,1.0000,1.0000,68,77,92
1385,2,1.0000,1.0000,51,64,81
1386,14,0.9759,0.9940,64,79,97
1387,3,1.0000,1.0000,69,88,103
1388,3,1.0000,1.0000,68,87,102
1389,6,0.7244,0.9230,85,113,135
1390,2,0.9716,0.9716,83,123,150
1391,2,1.0000,1.0000,83,127,155
1392,2,1.0000,1.0000,82,123,149
1393,4,0.9629,0.9820,82,122,148
1394,3,0.9837,0.9918,83,120,146
1395,2,0.9828,0.9828,83,121,149
1396,2,1.0000,1.0000,83,123,151
1397,33,0.8984,0.9787,83,127,156
1398,2,1.0000,1.0000,81,128,159
1399,3,0.9915,0.9958,81,130,154
1400,8,0.9770,0.9938,89,132,164
1401,50,0.9558,0.9937,87,134,165
1402,3,0.9802,0.9901,86,132,164
1403,4,0.9883,0.9942,85,130,163
1404,2,0.9888,0.9888,92,131,163
1405,5,0.9518,0.9832,87,130,160
1406,11,0.9774,0.9977,88,135,174
1407,2,1.0000,1.0000,89,137,172
1408,2,1.0000,1.0000,88,137,169
1409,3,0.9551,0.9775,106,140,173
1410,2,0.9574,0.9574,104,145,173
1411,4,0.3512,0.7680,103,144,170
1412,5,0.5515,0.7032,104,133,158
1413,3,0.9473,0.9737,92,120,142
1414,4,0.6597,0.8483,103,130,155
1415,2,0.9049,0.9049,104,128,152
1416,3,0.9323,0.9661,105,125,149
1417,2,0.9741,0.9741,104,124,147
1418,2,0.9719,0.9719,102,122,145
1419,3,1.0000,1.0000,101,116,140
1420,4,0.9329,0.9689,97,123,140
1421,2,0.9672,0.9672,97,122,138
1422,3,0.9947,0.9974,98,116,133
1423,3,0.9703,0.9851,93,104,122
1424,3,1.0000,1.0000,92,100,119
1425,3,1.0000,1.0000,98,110,129
1426,6,0.8010,0.9422,86,96,108
1427,3,1.0000,1.0000,82,92,104
1428,2,0.9524,0.9524,88,98,110
1429,4,1.0000,1.0000,93,103,115
1430,3,1.0000,1.0000,91,103,117
1431,3,1.0000,1.0000,62,74,88
1432,3,0.9059,0.9530,85,97,111
1433,2,1.0000,1.0000,78,90,104
1434,3,1.0000,1.0000,84,96,110
1435,3,0.9868,0.9934,75,88,101
1436,2,0.9750,0.9750,77,99,112
1437,2,1.0000,1.0000,82,104,117
1438,3,1.0000,1.0000,78,100,113
1439,2,1.0000,1.0000,84,106,119
1440,2,1.0000,1.0000,71,93,106
1441,3,1.0000,1.0000,80,102,115
1442,3,1.0000,1.0000,91,112,127
1443,3,1.0000,1.0000,97,109,123
1444,5,0.9934,0.9984,67,83,95
1445,13,0.9724,0.9891,66,56,51
1446,8,0.9603,0.9868,61,47,47
1447,20,0.9846,0.9940,76,66,65
1448,9,0.9670,0.9908,68,56,55
1449,2,1.0000,1.0000,63,55,53
1450,2,1.0000,1.0000,62,51,50
1451,8,0.9847,0.9943,69,60,58
1452,6,0.9765,0.9930,61,50,49
1453,2,1.0000,1.0000,76,57,59
1454,2,0.9976,0.9976,71,52,54
1455,2,0.9808,0.9808,66,82,103
1456,3,1.0000,1.0000,81,109,131
1457,2,1.0000,1.0000,90,118,135
1458,2,1.0000,1.0000,90,118,142
1459,2,0.9764,0.9764,89,122,146
1460,3,1.0000,1.0000,89,124,151
1461,21,0.9236,0.9811,87,125,152
1462,2,1.0000,1.0000,88,124,149
1463,2,1.0000,1.0000,88,124,148
1464,3,1.0000,1.0000,88,123,148
1465,3,0.9748,0.9778,88,123,145
1466,2,0.9810,0.9810,89,127,149
1467,3,0.9629,0.9815,88,124,150
1468,4,0.9593,0.9864,87,122,148
1469,53,0.9059,0.9773,82,130,160
1470,2,1.0000,1.0000,83,128,155
1471,7,0.9843,0.9926,83,129,157
1472,3,1.0000,1.0000,83,127,156
1473,3,1.0000,1.0000,83,125,153
1474,7,0.9940,0.9981,87,133,166
1475,6,0.9823,0.9930,84,132,164
1476,23,0.9487,0.9900,85,133,165
1477,10,1.0000,1.0000,87,136,168
1478,4,1.0000,1.0000,124,173,205
1479,5,0.9661,0.9820,104,153,183
1480,3,0.9057,0.9529,105,149,180
1481,2,1.0000,1.0000,109,148,183
1482,3,0.9168,0.9584,106,148,179
1483,3,1.0000,1.0000,104,143,174
1484,4,1.0000,1.0000,104,149,181
1485,10,0.9751,0.9891,103,149,181
1486,12,0.9640,0.9875,102,148,179
1487,2,0.9831,0.9831,101,145,180
1488,4,0.8228,0.9335,103,140,175
1489,2,1.0000,1.0000,101,141,176
1490,2,1.0000,1.0000,101,142,178
1491,3,1.0000,1.0000,98,138,156
1492,3,0.7991,0.8995,99,146,164
1493,2,1.0000,1.0000,99,144,163
1494,4,0.8515,0.9240,98,138,164
1495,16,0.7703,0.9388,98,144,173
1496,2,0.8637,0.8637,98,141,165
1497,2,0.8923,0.8923,99,136,160
1498,2,0.9584,0.9584,101,136,158
1499,5,0.8473,0.9470,99,135,157
1500,3,0.8870,0.9435,99,124,145
1501,4,1.0000,1.0000,99,126,152
1502,3,1.0000,1.0000,99,138,161
1503,3,1.0000,1.0000,99,127,149
1504,4,0.8883,0.9356,95,128,155
1505,6,0.9038,0.9648,92,130,155
1506,2,0.9558,0.9558,89,139,158
1507,3,0.9964,0.9982,87,141,158
1508,4,0.9921,0.9955,86,137,159
1509,2,0.9817,0.9817,88,137,159
1510,2,1.0000,1.0000,90,139,161
1511,2,0.9697,0.9697,93,139,156
1512,2,1.0000,1.0000,94,134,156
1513,2,0.9701,0.9701,97,130,148
1514,2,1.0000,1.0000,97,130,145
1515,3,1.0000,1.0000,75,62,55
1516,10,0.9731,0.9944,64,56,53
1517,11,0.9875,0.9959,69,61,58
1518,3,1.0000,1.0000,75,66,61
1519,8,0.9773,0.9867,69,58,58
1520,3,1.0000,1.0000,64,52,52
1521,6,0.9889,0.9956,78,66,66
1522,5,0.9891,0.9928,71,63,62
1523,90,0.9012,0.9812,84,78,76
1524,3,1.0000,1.0000,72,64,62
1525,8,0.9794,0.9903,80,65,66
1526,4,0.9953,0.9969,75,58,60
1527,2,1.0000,1.0000,80,62,64
1528,3,0.9777,0.9789,91,123,145
1529,3,0.9498,0.9749,90,127,152
1530,4,0.9706,0.9730,88,126,155
1531,4,0.9971,0.9990,88,132,161
1532,7,0.9767,0.9922,89,132,162
1533,2,1.0000,1.0000,89,129,154
1534,2,1.0000,1.0000,88,129,154
1535,7,0.9925,0.9988,85,132,160
1536,3,0.9957,0.9978,83,131,159
1537,6,0.9949,0.9979,85,131,159
1538,3,0.9925,0.9962,85,129,157
1539,3,0.9925,0.9962,83,129,156
1540,6,0.9920,0.9968,83,127,155
1541,3,1.0000,1.0000,85,134,164
1542,4,1.0000,1.0000,87,134,164
1543,10,1.0000,1.0000,126,175,207
1544,7,1.0000,1.0000,122,171,203
1545,3,1.0000,1.0000,113,162,194
1546,4,0.9947,0.9965,105,154,188
1547,7,0.9921,0.9974,104,154,186
1548,4,0.9819,0.9940,109,153,186
1549,2,1.0000,1.0000,109,153,185
